FECHA,TIPO DE MOVIMIENTO,PROYECTO,DESCRIPCION,CATEGORIA/DETALLE,DETALLE,IMPORTE CONTABLE,CUENTA JUAN CARLOS,PAYO SANTIAGO,BANCOLOMBIA,HOTMART JSD,PAYO JSD,PAYO FRAN,JERWIN PERÚ,BINANCE,
1 de octubre de 2023,,AGENCIA X,SALDOS INICIALES,Ingresos por Proyecto,Saldos Iniciales,,," $ 9,975.0 ",,,,,,,
1 de octubre de 2023,,AGENCIA X,SALDOS INICIALES,Ingresos por Proyecto,Saldos Iniciales,,,,,,,$ 894.0,,,
1 de octubre de 2023,,JSD,SALDOS INICIALES,Ingresos por Proyecto,Saldos Iniciales,,,,," $ 30,088.0 ",,,,,
1 de noviembre de 2023,,AGENCIA X,CURSO PERFECT LAUNCH,Gastos de la Agencia,CURSOS,,,,,,-$ 15.0,,,,
1 de noviembre de 2023,,AGENCIA X,DEUDAS Y PAGOS FB,Gastos de la Agencia,PAGOS PENDIENTES,,,,,,-$ 155.0,,,,
1 de noviembre de 2023,,AGENCIA X,HOSTINGUER,Sotware y suscripciones,HOSTINGUER,,,,,,-$ 62.0,,,,
1 de noviembre de 2023,,AGENCIA X,MANYCHAT,Sotware y suscripciones,MANYCHAT,,,,,,-$ 45.0,,,,
1 de noviembre de 2023,,AGENCIA X,PARTE JERWIN - ADELANTO AV VILLAS,REPARTICION UTILIDADES SOCIOS,JERWIN,,,,,,,,,-$ 659.0,
1 de noviembre de 2023,,GIGI,PARTE FRAN DEUDA GIORGIO,REPARTICION UTILIDADES SOCIOS,FRAN,,,,"-$ 3,023,000.0 ",,,,,,
1 de noviembre de 2023,,GIGI,PARTE JUANCA DEUDA GIORGIO,REPARTICION UTILIDADES SOCIOS,FRAN,,,,"-$ 2,362,000.0 ",,,,,,
1 de noviembre de 2023,,GIGI,PARTE SANTIAGO DEUDA GIORGIO,REPARTICION UTILIDADES SOCIOS,FRAN,,,,"-$ 2,456,000.0 ",,,,,,
1 de noviembre de 2023,,GIGI,PLATA GIORGIO DEUDA,Ingresos por Proyecto,GIGI,,,," $ 9,448,000.0 ",,,,,,
