FECHA,TIPO DE MOVIMIENTO,PROYECTO,DESCRIPCION,CATEGORIA/DETALLE,DETALLE,IMPORTE CONTABLE,CUENTA JUAN CARLOS,PAYO SANTIAGO,BANCOLOMBIA,HOTMART JSD,PAYO JSD,PAYO FRAN,JERWIN PERÚ,BINANCE,
1 de octubre de 2023,,AGENCIA X,Saldos iniciales,Saldos Iniciales,Saldos Iniciales,,," $ 9,975.0 ",,,,,,,
1 de octubre de 2023,,AGENCIA X,Saldos iniciales,Saldos Iniciales,Saldos Iniciales,,,,,,,$ 894.0,,,
1 de octubre de 2023,,JSD,Saldos iniciales,Saldos Iniciales,Saldos Iniciales,,,,," $ 30,088.0 ",,,,,
1 de noviembre de 2023,,AGENCIA X,Curso Perfect Launch,Educación,Cursos,,,,,,-$ 15.0,,,,
1 de noviembre de 2023,,AGENCIA X,Deudas y pagos Facebook,Marketing,Facebook Ads,,,,,,-$ 155.0,,,,
1 de noviembre de 2023,,AGENCIA X,Hosting,Servicios de Hosting,Hostinger,,,,,,-$ 62.0,,,,
1 de noviembre de 2023,,AGENCIA X,ManyChat,Suscripciones,ManyChat,,,,,,-$ 45.0,,,,
1 de noviembre de 2023,,AGENCIA X,Parte Jerwin - Adelanto Av Villas,Distribución de Utilidades,Corte general,,,,,,,,,-$ 659.0,
1 de noviembre de 2023,,GIGI,Parte Fran deuda Giorgio,Distribución de Utilidades,Corte general,,,,"-$ 3,023,000.0 ",,,,,,
1 de noviembre de 2023,,GIGI,Parte Juanca deuda Giorgio,Distribución de Utilidades,Corte general,,,,"-$ 2,362,000.0 ",,,,,,
1 de noviembre de 2023,,GIGI,Parte Santiago deuda Giorgio,Distribución de Utilidades,Corte general,,,,"-$ 2,456,000.0 ",,,,,,
1 de noviembre de 2023,,GIGI,Plata Giorgio deuda,Ingresos por Proyecto,Hotmart,,,," $ 9,448,000.0 ",,,,,,
1 de noviembre de 2023,,JSD,Traslado de billetera JSD,Transferencias Internas,Traslado entre cuentas,,,,,,,,,$ 559.0,
1 de noviembre de 2023,,JSD,Traslado de Juan Carlos,Pagos a Terceros,Soult,,," $ 2,318.0 ",,,,,,,
1 de noviembre de 2023,,JSD Y VCAPITAL,Retiro Hotmart,Retiros,Hotmart,,,,,"-$ 16,342.0 "," $ 16,342.0 ",,,,
1 de noviembre de 2023,,JSD Y VCAPITAL,Ingresos proyecto,Ingresos por Proyecto,Ingresos por Proyecto,,,,,,,,," $ 17,694.0 ",
1 de noviembre de 2023,,JSD Y VCAPITAL,Ingresos proyecto,Ingresos por Proyecto,Ingresos por Proyecto,,,,,,,,," $ 2,750.0 ",
1 de noviembre de 2023,,JSD Y VCAPITAL,Parte Jerwin de Joshua y Mauricio,Distribución de Utilidades,Corte general,,,,,,,,,-$ 79.0,
1 de noviembre de 2023,,VCAPITAL,"Utilidades Vcapital (F, S y JC)",Distribución de Utilidades,Corte general,,,,"-$ 2,700,000.0 ",,,,,,
1 de noviembre de 2023,,VCAPITAL,Pago de comisiones Vcapital,Comisiones,Comisiones,,,,"-$ 1,045,000.0 ",,,,,,
1 de noviembre de 2023,,VCAPITAL,Plata Vcapital,Ingresos por Proyecto,Ingresos por Proyecto,,,," $ 5,349,000.0 ",,,,,,
1 de noviembre de 2023,,VCAPITAL,Traslado Vcapital,Transferencias Internas,Traslado entre cuentas,,,,,,,,," $ 1,129.0 ",
1 de diciembre de 2023,,AGENCIA X,Zoom,Suscripciones,Zoom,,,-$ 50.0,,,,,,,
1 de diciembre de 2023,,BALAYAGE,Ingresos Bancolombia,Ingresos por Proyecto,Bancolombia,,,,"-$ 1,768,000.0 ",,,,,,
1 de diciembre de 2023,,JSD,Retiro Hotmart,Retiros,Hotmart,,,,,"-$ 3,526.0 "," $ 3,526.0 ",,,,
1 de diciembre de 2023,,VCAPITAL,Parte equipo renovaciones Vcapital,Distribución de Utilidades,Corte general,,,,"-$ 750,000.0 ",,,,,,
